"ID","_id","text","count","str_id"
"[32853,20481599]",850391442413551616,"RT @rrodrigoinv: Terceira guerra mundial chegando e o Brasil nao esta  preparado nem pra combater a guerra contra o  mosquito da dengue.",122,"850391442413551616"
"[32853,20481600]",985596709341487104,"Ate agora nao to acreditando que estou com chikungunya.",123,"985596709341487104"
"[32853,20481601]",858168698800156672,"Choro tanto que esqueco da dengue que se apossou do meu pequeno corpinho inofensivo",124,"858168698800156672"
"[32853,20481602]",846118810713276417,"Brasilia tem uma zika do caralho tb, ossada o Flamengo ganhar la",125,"846118810713276417"
"[32853,20481603]",858073639782166529,"Dengue ya te siento.",126,"858073639782166529"
"[32853,20481604]",708461192336023552,"RT @SamanEdu: EEUU no ve util usar mosquitos transgenicos contra el zika - Arsenal Terapeutico https://t.co/Ngc1chomTv https://t.co/ZvchNWG",127,"708461192336023552"
"[32853,20481605]",991507581230288896,"#Marchaverde #Llamaverde #Findelaimpunidad #Dengue #Malaria  #saludpublicard #Europa #Espana #America #Argentina #Bolivia #chile  #Mexico #Peru #colombia #Ecuador #Nicaragua #Guatemala #CostaRica  #Venezuela #RepublicaDominicana #dominicana #Honda #Honduras #elsalvador  #paraguay https://t.co/eA50gmebGN",128,"991507581230288896"
"[32853,20481606]",995895232028954625,"Meu wpp vai pegar dengue de tao parado ",129,"995895232028954625"
"[32853,20481607]",999770640260452353,"Pega Babadoo  pego quem viado ? nem chikungunya to pegando bb https://t.co/csgM4vHj0E",130,"999770640260452353"
"[32853,20481608]",842097981654462464,"RT @em_com: #Saude Numero de notificacoes de #chikungunya ja e quatro vezes maior do que em 2016 https://t.co/WmlxKJk0hj https://t.co/WQevo",131,"842097981654462464"
"[32853,20481609]",853672388818587652,"tem gente que se ausenta pra fazer falta e acaba nos fazendo e um favorzao zika do bagulho ne meu chapa",132,"853672388818587652"
"[32853,20481610]",854633528004411393,"RT @Estadao: O homem mais rico do mundo contra o mosquito Aedes aegypti: US$ 18 milhoes para pesquisa https://t.co/rND67gp8aW",133,"854633528004411393"
"[32853,20481611]",993987675744096256,"Meu wpp ta mais parado do que agua com larvas da dengue ! ",134,"993987675744096256"
"[32853,20481612]",705881987085701122,"RT @vimtepegaar: ""Zika virus e transmitido pelo beijo"" quem e que vai beijar um mosquito irmao ????????????",135,"705881987085701122"
"[32853,20481613]",843499895780720642,"Acho que meu irmao ta com dengue",136,"843499895780720642"
